code,name,rate,nominal
AUD,Австралийский доллар,52.3593,1
AZN,Азербайджанский манат,43.0162,1
DZD,Алжирских динаров,55.0941,100
GBP,Фунт стерлингов,98.6124,1
AMD,Армянских драмов,19.8592,100
BHD,Бахрейнский динар,194.446,1
BYN,Белорусский рубль,26.558,1
BOB,Боливиано,10.5829,1
BRL,Бразильский реал,14.6825,1
HUF,Форинтов,23.6483,100
VND,Донгов,29.0985,10000
HKD,Гонконгских долларов,93.3582,10
GEL,Лари,27.2843,1
DKK,Датская крона,11.4625,1
AED,Дирхам ОАЭ,19.9122,1
USD,Доллар США,73.1275,1
EUR,Евро,85.183,1
EGP,Египетских фунтов,13.8227,10
INR,Индийских рупий,76.2336,100
IDR,Рупий,41.7537,10000
IRR,Иранских риалов,49.6394,1000000
KZT,Тенге,15.4264,100
CAD,Канадский доллар,53.2805,1
QAR,Катарский риал,20.09,1
KGS,Сомов,83.6221,100
CNY,Юань,10.7318,1
CUP,Кубинских песо,30.4698,10
MDL,Молдавских леев,42.4952,10
MNT,Тугриков,20.4491,1000
NGN,Найр,53.3432,1000
NZD,Новозеландский доллар,43.0209,1
NOK,Норвежских крон,79.7552,10
OMR,Оманский риал,190.1886,1
PLN,Злотый,20.0212,1
SAR,Саудовский риял,19.5007,1
RON,Румынский лей,16.3227,1
XDR,СДР (специальные права заимствования),100.3521,1
SGD,Сингапурский доллар,57.2561,1
TJS,Сомони,78.2531,10
THB,Батов,22.4786,10
BDT,Так,59.5311,100
TRY,Турецких лир,16.1113,10
TMT,Новый туркменский манат,20.8936,1
UZS,Узбекских сумов,61.0092,10000
UAH,Гривен,16.5926,10
CZK,Чешских крон,34.9391,10
SEK,Шведских крон,78.4873,10
CHF,Швейцарский франк,93.0612,1
ETB,Эфиопских быров,46.4499,100
RSD,Сербских динаров,72.5538,100
ZAR,Рэндов,43.8767,10
KRW,Вон,49.0196,1000
JPY,Иен,46.1372,100
MMK,Кьятов,34.8226,1000
