date,product,category,quantity,price,customer_city,revenue
2024-03-01,ноутбук,электроника,1,50000,Москва,50000
2024-03-02,мышь,электроника,2,1500,СПб,3000
2024-03-03,клавиатура,электроника,1,3000,Казань,3000
2024-03-04,ноутбук,электроника,1,52000,Москва,52000
2024-03-05,книга,образование,3,800,Москва,2400
2024-03-06,мышь,электроника,1,1500,СПб,1500
2024-03-07,ноутбук,электроника,1,51000,Казань,51000
2024-03-08,книга,образование,2,800,Москва,1600
2024-03-09,клавиатура,электроника,2,3000,СПб,6000
2024-03-10,ноутбук,электроника,1,53000,Москва,53000
2024-03-11,книга,образование,5,800,Казань,4000
2024-03-12,мышь,электроника,3,1500,Москва,4500
