date,category,product,quantity,price,city,revenue,month,weekday_name
2024-01-15,electronics,laptop,1,55000,Москва,55000,1,Monday
2024-01-20,clothes,jeans,2,3000,СПб,6000,1,Saturday
2024-02-05,electronics,phone,1,25000,Казань,25000,2,Monday
2024-02-14,clothes,tshirt,3,1000,Москва,3000,2,Wednesday
2024-02-20,electronics,laptop,1,54000,СПб,54000,2,Tuesday
2024-03-10,books,detective,2,500,Москва,1000,3,Sunday
2024-03-15,electronics,phone,2,24000,Казань,48000,3,Friday
2024-03-20,clothes,jeans,1,3200,Москва,3200,3,Wednesday
2024-04-05,electronics,laptop,1,56000,СПб,56000,4,Friday
2024-04-10,books,novel,5,400,Москва,2000,4,Wednesday
2024-04-15,electronics,phone,1,26000,Казань,26000,4,Monday
2024-04-20,clothes,tshirt,4,1200,СПб,4800,4,Saturday
2024-05-05,electronics,laptop,2,53000,Москва,106000,5,Sunday
2024-05-10,books,detective,3,550,Казань,1650,5,Friday
2024-05-15,electronics,phone,1,25500,СПб,25500,5,Wednesday
2024-05-20,clothes,jeans,2,3100,Москва,6200,5,Monday
2024-06-05,electronics,laptop,1,57000,Казань,57000,6,Wednesday
2024-06-10,books,novel,3,450,СПб,1350,6,Monday
2024-06-15,electronics,phone,2,25000,Москва,50000,6,Saturday
2024-06-20,clothes,tshirt,3,1300,Казань,3900,6,Thursday
