date,category,product,quantity,price,city
2024-01-15,electronics,laptop,1,55000,Москва
2024-01-20,clothes,jeans,2,3000,СПб
2024-02-05,electronics,phone,1,25000,Казань
2024-02-14,clothes,tshirt,3,1000,Москва
2024-02-20,electronics,laptop,1,54000,СПб
2024-03-10,books,detective,2,500,Москва
2024-03-15,electronics,phone,2,24000,Казань
2024-03-20,clothes,jeans,1,3200,Москва
2024-04-05,electronics,laptop,1,56000,СПб
2024-04-10,books,novel,5,400,Москва
2024-04-15,electronics,phone,1,26000,Казань
2024-04-20,clothes,tshirt,4,1200,СПб
2024-05-05,electronics,laptop,2,53000,Москва
2024-05-10,books,detective,3,550,Казань
2024-05-15,electronics,phone,1,25500,СПб
2024-05-20,clothes,jeans,2,3100,Москва
2024-06-05,electronics,laptop,1,57000,Казань
2024-06-10,books,novel,3,450,СПб
2024-06-15,electronics,phone,2,25000,Москва
2024-06-20,clothes,tshirt,3,1300,Казань
